Description;Points;Title;Price;Designation;Variety;Country;Winery;Taster;Alcohol;Bottle size;Category;Importer;Date published;Region;City
Delicate aromas evoking underbrush, plum, new leather and blue flower shape the nose on this linear red. On the ethereal, graceful palate, bright acidity and agile tannins lightly support sour cherry, orange zest and star anise before a tangy finish. Drink through 2024. KERIN O’KEEFE;90;Villa S. Anna 2016 Vino Nobile di Montepulciano;$33;;Red Blends, Red Blends;Vino Nobile di Montepulciano, Tuscany, Italy;Villa S. Anna;KERIN O’KEEFE;13%;750 ml;Red;Rosenthal Wine Merchant;4/1/2020;Tuscany;Vino Nobile di Montepulciano
Made with organically grown grapes, this single-vineyard bottling opens with intense aromas of red berry, violet, cooking spice and a balsamic note. The juicy, lively palate features red cherry, cinnamon and star anise alongside smooth tannins. Drink soon to enjoy the fruit richness. KERIN O’KEEFE;90;Speri 2017 La Roverina (Valpolicella Classico Superiore);$17;La Roverina;Red Blends, Red Blends;Valpolicella Classico Superiore, Veneto, Italy;Speri;KERIN O’KEEFE;12.5%;750 ml;Red;Empson USA Ltd;4/1/2020;Veneto;Valpolicella Classico Superiore
Made with organically grown grapes, this has aromas of black-skinned berry, tilled soil and leather. The savory palate offers dried black cherry, star anise and white pepper alongside polished tannins. Enjoy through 2022. KERIN O’KEEFE;90;Speri 2017 Valpolicella Classico Superiore Ripasso;$27;;Red Blends, Red Blends;Valpolicella Classico Superiore Ripasso, Veneto, Italy;Speri;KERIN O’KEEFE;13.5%;750 ml;Red;Empson USA Ltd;4/1/2020;Veneto;Valpolicella Classico Superiore Ripasso
Made entirely from Sangiovese, this opens with fragrant aromas of violet, tilled soil and red berry. Reflecting the nose, the juicy palate offers red cherry, raspberry and cinnamon alongside polished tannins and bright acidity. Enjoy through 2025. KERIN O’KEEFE;90;Cinciano 2016 Chianti Classico;$26;;Sangiovese;Chianti Classico, Tuscany, Italy;Cinciano;KERIN O’KEEFE;14%;750 ml;Red;Noble Harvest, LLC;4/1/2020;Tuscany;Chianti Classico
New leather, camphor and rose aromas mingle with whiffs of wild herb and truffle. On the vibrant, earthy palate, bright acidity and taut, fine-grained tannins accompany red plum, pomegranate, star anise and sage. It's still youthfully austere and virtually screams out for food. Drink 2022–2028. KERIN O’KEEFE;90;Romeo 2016 Vino Nobile di Montepulciano;$44;;Red Blends, Red Blends;Vino Nobile di Montepulciano, Tuscany, Italy;Romeo;KERIN O’KEEFE;14%;750 ml;Red;Due Fratelli Imports;4/1/2020;Tuscany;Vino Nobile di Montepulciano
Made with 95% Sangiovese and 5% Colorino, this offers aromas of dark-skinned berry, cedar and mocha. The medium-bodied but concentrated palate offers black cherry jam, licorice and espresso alongside grainy tannins. Drink through 2024. KERIN O’KEEFE;90;Villa Cerna 2016 Primocolle (Chianti Classico);$25;Primocolle;Red Blends, Red Blends;Chianti Classico, Tuscany, Italy;Villa Cerna;KERIN O’KEEFE;13.5%;750 ml;Red;Volio Vino;4/1/2020;Tuscany;Chianti Classico
Made with 70% Cabernet Sauvignon and 30% Cabernet Franc, this has aromas of toasted oak, bell pepper and dark-skinned berry. The savory palate offers black currant, mocha and vanilla alongside polished tannins. KERIN O’KEEFE;90;Cotarella 2015 Marciliano Red (Umbria);$60;Marciliano;Red Blends, Red Blends;Umbria, Central Italy, Italy;Cotarella;KERIN O’KEEFE;14.5%;750 ml;Red;LLS–Winebow;4/1/2020;Central Italy;Umbria
Aromas of wild berry, violet and eucalyptus shape the nose along with a whiff of oak-driven spice. Linear and firmly structured, the elegant palate delivers dried cherry, powdered sage, licorice and espresso set against close-grained tannins that leave a rather drying finish. Drink 2022–2027. KERIN O’KEEFE;89;Bindella 2015 Vallocaia Riserva (Vino Nobile di Montepulciano);$51;Vallocaia Riserva;Red Blends, Red Blends;Vino Nobile di Montepulciano, Tuscany, Italy;Bindella;KERIN O’KEEFE;14.5%;750 ml;Red;Frederick Wildman & Sons, Ltd;4/1/2020;Tuscany;Vino Nobile di Montepulciano
Aromas of ripe dark-skinned berry, scorched soil and cooking spice lead the nose. The medium-bodied palate offers dried black cherry, star anise and mocha alongside smooth tannins. Drink through 2025. KERIN O’KEEFE;89;Castelli del Grevepesa 2013 Clemente VII Gran Selezione (Chianti Classico);$50;Clemente VII Gran Selezione;Sangiovese;Chianti Classico, Tuscany, Italy;Castelli del Grevepesa;KERIN O’KEEFE;14%;750 ml;Red;Votto Vines Importing;4/1/2020;Tuscany;Chianti Classico
This has aromas of black-skinned berry, underbrush and cooking spice. It's full bodied and savory, with black-currant, white-pepper and star anise flavors accompanied by polished tannins. Enjoy through 2023. KERIN O’KEEFE;89;Fattori 2017 Col de la Bastia Red;$33;Col de la Bastia;Red Blends, Red Blends;Veneto, Italy;Fattori;KERIN O’KEEFE;14.5%;750 ml;Red;Zerbina Imports;4/1/2020;Italy;Veneto
The nose is rather shy but eventually reveals whiffs of forest floor, red berry and blue flower. The austere palate is on the lean side in terms of fruit richness, offering sour cherry, powdered sage and coffee bean set against bright acidity and grainy tannins that clench the finish. KERIN O’KEEFE;89;Icario 2016 Vino Nobile di Montepulciano;$35;;Sangiovese;Vino Nobile di Montepulciano, Tuscany, Italy;Icario;KERIN O’KEEFE;14.5%;750 ml;Red;Provicenter;4/1/2020;Tuscany;Vino Nobile di Montepulciano
Ripe dark berry, vanilla and baking spice emerge from the glass. On the concentrated palate, smooth tannins accompany dried black cherry, white pepper and nutmeg. Enjoy through 2022. KERIN O’KEEFE;89;Monte del Frà 2017 Lena di Mezzo (Valpolicella Classico Superiore Ripasso);$25;Lena di Mezzo;Red Blends, Red Blends;Valpolicella Classico Superiore Ripasso, Veneto, Italy;Monte del Frà;KERIN O’KEEFE;14%;750 ml;Red;Vision Wine & Spirits;4/1/2020;Veneto;Valpolicella Classico Superiore Ripasso
Aromas of ripe dark-skinned fruit, coconut, mocha and tilled soil come together on this brawny wine. The forward, full-bodied palate offers prune, vanilla and star anise alongside mature tannins. Drink through 2023. KERIN O’KEEFE;89;Ormanni 2015 Borro del Diavolo Riserva (Chianti Classico);$29;Borro del Diavolo Riserva;Sangiovese;Chianti Classico, Tuscany, Italy;Ormanni;KERIN O’KEEFE;15%;750 ml;Red;Virtuoso Selections;4/1/2020;Tuscany;Chianti Classico
Aromas of scorched earth, underbrush and black-skinned berry mingle with a whiff of toasted hazelnut. On the full-bodied palate, fine-grained, enveloping tannins accompany prune, dried cherry and licorice. KERIN O’KEEFE;89;Tenuta di Lilliano 2016 Chianti Classico;$19;;Red Blends, Red Blends;Chianti Classico, Tuscany, Italy;Tenuta di Lilliano;KERIN O’KEEFE;14.5%;750 ml;Red;Vos Vinum Importing;4/1/2020;Tuscany;Chianti Classico
Underbrush, mature dark-skinned fruit and exotic spice aromas lead the nose. The aromas carry over to the round, full-bodied palate along with prune, licorice and sandalwood. Smooth, mild tannins provide polished support before a rather short finish. It's already accessible so drink through 2023. KERIN O’KEEFE;89;Trerose 2015 Simposio Riserva (Vino Nobile di Montepulciano);$64;Simposio Riserva;Red Blends, Red Blends;Vino Nobile di Montepulciano, Tuscany, Italy;Trerose;KERIN O’KEEFE;14.5%;750 ml;Red;Taub Family Selections;4/1/2020;Tuscany;Vino Nobile di Montepulciano
This has aromas suggesting mature dark berry, mocha and tobacco. The dense palate shows fleshy black plum, espresso and vanilla alongside smooth tannins. KERIN O’KEEFE;89;Villa Rosa 2015 Gran Selezione (Chianti Classico);$70;Gran Selezione;Sangiovese;Chianti Classico, Tuscany, Italy;Villa Rosa;KERIN O’KEEFE;14.5%;750 ml;Red;Volio Vino;4/1/2020;Tuscany;Chianti Classico
Red-berry, baking-spice and fragrant blue-flower aromas mingle together on this vibrant red. Linear and racy, the light-bodied palate evokes juicy sour cherry, strawberry and hints of baking spice while smooth tannins provide pliant support. KERIN O’KEEFE;89;Avignonesi 2018 Rosso di Montepulciano;;;Sangiovese;Rosso di Montepulciano, Tuscany, Italy;Avignonesi;KERIN O’KEEFE;13.5%;750 ml;Red;Tabaccaia USA;4/1/2020;Tuscany;Rosso di Montepulciano
Aromas of French oak, exotic spice and blue flower lead the nose. The aromas carry over to the somewhat lean, racy palate along with sour cherry and sage framed in dusty, rather astringent tannins. KERIN O’KEEFE;89;Canneto 2016 Vino Nobile di Montepulciano;$32;;Red Blends, Red Blends;Vino Nobile di Montepulciano, Tuscany, Italy;Canneto;KERIN O’KEEFE;14%;750 ml;Red;Selected Estates of Europe Ltd;4/1/2020;Tuscany;Vino Nobile di Montepulciano
Aromas of red berry, tilled soil, violet and dark spice mingle with a hint of underbrush. On the lithe, linear palate, a mineral note evoking rusted iron accents mature wild cherry and star anise while dusty tannins provide support. Acquired in 2018 by Fontanafredda, which has invested in the vineyards and the cellars, this is an estate to watch. KERIN O’KEEFE;89;Colombaio di Cencio 2017 Monticello (Chianti Classico);$18;Monticello;Sangiovese;Chianti Classico, Tuscany, Italy;Colombaio di Cencio;KERIN O’KEEFE;13.5%;750 ml;Red;USA Wine West;4/1/2020;Tuscany;Chianti Classico
This opens with aromas of mature dark-skinned berry, underbrush and cooking spice. The dense, solid palate offers raisin, mocha and star anise alongside close-grained tannins. Drink through 2023. KERIN O’KEEFE;89;Domìni Veneti 2016 Verjago (Valpolicella Classico Superiore);;Verjago;Red Blends, Red Blends;Valpolicella Classico Superiore, Veneto, Italy;Domìni Veneti;KERIN O’KEEFE;15.5%;750 ml;Red;Siena Imports;4/1/2020;Veneto;Valpolicella Classico Superiore
Aromas of dark-skinned fruit, camphor, ground clove and whiffs of French oak lead the nose. On the austere, light-bodied palate, taut, close-grained tannins and racy acidity accompany sour cherry, pomegranate and unroasted coffee bean. Drink after 2022. KERIN O’KEEFE;89;Gracciano della Seta 2016 Riserva (Vino Nobile di Montepulciano);$48;Riserva;Red Blends, Red Blends;Vino Nobile di Montepulciano, Tuscany, Italy;Gracciano della Seta;KERIN O’KEEFE;14%;750 ml;Red;Ideal Wine and Spirits;4/1/2020;Tuscany;Vino Nobile di Montepulciano
Aromas of red berry, tilled soil, wild herb and blue flower shape the nose while the fresh easy-drinking palate offers strawberry, sour cherry and a hint of star anise. Smooth tannins offer light support. KERIN O’KEEFE;89;Gracciano della Seta 2018 Rosso di Montepulciano;$18;;Red Blends, Red Blends;Rosso di Montepulciano, Tuscany, Italy;Gracciano della Seta;KERIN O’KEEFE;14%;750 ml;Red;Ideal Wine and Spirits;4/1/2020;Tuscany;Rosso di Montepulciano
Vibrant and easygoing, this lithe red opens with aromas of woodland berry, blue flower and a whiff of wild herb. The bright, enjoyable palate offers juicy black cherry and hints of baking spice set against pliant tannins. KERIN O’KEEFE;89;La Braccesca 2018 Sabazio (Rosso di Montepulciano);$16;Sabazio;Red Blends, Red Blends;Rosso di Montepulciano, Tuscany, Italy;La Braccesca;KERIN O’KEEFE;14%;750 ml;Red;Ste. Michelle Wine Estates;4/1/2020;Tuscany;Rosso di Montepulciano
Aromas of toasted oak, scorched earth and a whiff of blue flower take shape in the glass. On the smooth, medium-bodied palate, lithe tannins accompany prune, grilled herb and toasted hazelnut before a powdered sage finish. KERIN O’KEEFE;89;Metinella 2015 Riserva (Vino Nobile di Montepulciano);$35;Riserva;Red Blends, Red Blends;Vino Nobile di Montepulciano, Tuscany, Italy;Metinella;KERIN O’KEEFE;14%;750 ml;Red;Wine Universe Corp;4/1/2020;Tuscany;Vino Nobile di Montepulciano
Aromas of black-skinned berry, exotic spice and underbrush form the nose. The savory palate offers blackberry jam, tobacco and almond alongside polished tannins. KERIN O’KEEFE;89;Villa Spinosa 2016 Jago (Valpolicella Ripasso Classico);$27;Jago;Red Blends, Red Blends;Valpolicella Ripasso Classico, Veneto, Italy;Villa Spinosa;KERIN O’KEEFE;14%;750 ml;Red;Tradizione Imports;4/1/2020;Veneto;Valpolicella Ripasso Classico
Aromas of black-skinned berry, underbrush and vanilla lead the nose. The savory palate offers blackberry jam, white pepper and tobacco alongside polished tannins. Drink through 2023. KERIN O’KEEFE;89;Fidora 2016 Valpolicella Ripasso;$30;;Red Blends, Red Blends;Valpolicella Ripasso, Veneto, Italy;Fidora;KERIN O’KEEFE;14%;750 ml;Red;The House of Burgundy;4/1/2020;Veneto;Valpolicella Ripasso
Made from organically farmed grapes, this opens with aromas of red berry, violet and underbrush. The light-bodied, juicy palate offers raspberry, cinnamon and tangerine zest alongside fresh acidity and pliant tannins. Enjoy soon. KERIN O’KEEFE;89;Massimago 2018 Valpolicella;$27;;Red Blends, Red Blends;Valpolicella, Veneto, Italy;Massimago;KERIN O’KEEFE;12%;750 ml;Red;Artisanal Cellars;4/1/2020;Veneto;Valpolicella
Savory and easygoing, this smooth red delivers juicy Marasca cherry, black-raspberry, cinnamon and nutmeg flavors. It's everything a Rosso should be: straightforward, fresh and utterly enjoyable. Drink now. KERIN O’KEEFE;89;Cantina Chiacchiera 2018 Rosso di Montepulciano;$19;;Red Blends, Red Blends;Rosso di Montepulciano, Tuscany, Italy;Cantina Chiacchiera;KERIN O’KEEFE;13.5%;750 ml;Red;Vinifera Imports;4/1/2020;Tuscany;Rosso di Montepulciano
Aromas of dark-skinned berry, underbrush and leather emerge from the glass. The linear palate offers dried black cherry, clove and tobacco alongside chewy tannins. KERIN O’KEEFE;89;Castelli del Grevepesa 2016 Clemente VII (Chianti Classico);$25;Clemente VII;Sangiovese;Chianti Classico, Tuscany, Italy;Castelli del Grevepesa;KERIN O’KEEFE;14%;750 ml;Red;Votto Vines Importing;4/1/2020;Tuscany;Chianti Classico
Aromas of black-skinned berry, underbrush and mocha form the nose while the juicy palate offers dried black cherry, licorice and espresso. Smooth tannins provide lithe support. KERIN O’KEEFE;89;Cecchi 2016 Riserva di Famiglia (Chianti Classico);$35;Riserva di Famiglia;Red Blends, Red Blends;Chianti Classico, Tuscany, Italy;Cecchi;KERIN O’KEEFE;13.5%;750 ml;Red;Terlato Wines International;4/1/2020;Tuscany;Chianti Classico
Aromas of ripe dark-skinned fruit, scorched earth and tobacco form the nose. Made with Syrah, Cabernet Sauvignon and Montepulciano, the savory palate evokes blackberry jam, licorice and black pepper alongside polished tannins. KERIN O’KEEFE;89;Decugnano dei Barbi 2016 A.D. 1212 Red (Umbria);;A.D. 1212;Red Blends, Red Blends;Umbria, Central Italy, Italy;Decugnano dei Barbi;KERIN O’KEEFE;14.5%;750 ml;Red;Foley Family Wines;4/1/2020;Central Italy;Umbria
Aromas of dark berry, baked plum and cooking spice lead the way. The concentrated palate offers blackberry jam, white pepper and vanilla alongside smooth tannins. Drink through 2022. KERIN O’KEEFE;89;Fumanelli 2016 Valpolicella Classico Superiore Ripasso;$20;;Red Blends, Red Blends;Valpolicella Classico Superiore Ripasso, Veneto, Italy;Fumanelli;KERIN O’KEEFE;14%;750 ml;Red;Taub Family Selections;4/1/2020;Veneto;Valpolicella Classico Superiore Ripasso
This opens with aromas of dark-skinned fruit, underbrush and tobacco. The structured palate offers ripe black cherry, licorice and a balsamic note alongside polished tannins. Enjoy through 2023. KERIN O’KEEFE;89;Ottella 2015 Ripa della Volta (Valpolicella Ripasso);;Ripa della Volta;Red Blends, Red Blends;Valpolicella Ripasso, Veneto, Italy;Ottella;KERIN O’KEEFE;14.5%;750 ml;Red;Lyra Wine;4/1/2020;Veneto;Valpolicella Ripasso
Aromas evoking dark-skinned berry, cedar and tobacco form the nose. Made with organically grown grapes, the chewy palate shows blackberry jam, vanilla and a hint of star anise alongside firm tannins. Enjoy through 2022. KERIN O’KEEFE;89;Speri 2016 Sant'Urbano (Valpolicella Classico Superiore);$30;Sant'Urbano;Red Blends, Red Blends;Valpolicella Classico Superiore, Veneto, Italy;Speri;KERIN O’KEEFE;13.5%;750 ml;Red;Empson USA Ltd;4/1/2020;Veneto;Valpolicella Classico Superiore
Mature black-skinned fruit, fragrant purple flower and French oak aromas waft out of the glass along with balsamic notes of eucalyptus. Firmly structured, the rather lean, austere palate features dried cherry, pomegranate, oak-driven spice and roasted coffee bean alongside assertive, fine-grained tannins that leave a drying finish. KERIN O’KEEFE;89;Talosa 2015 Riserva (Vino Nobile di Montepulciano);$43;Riserva;Sangiovese;Vino Nobile di Montepulciano, Tuscany, Italy;Talosa;KERIN O’KEEFE;14%;750 ml;Red;Verve Imports;4/1/2020;Tuscany;Vino Nobile di Montepulciano
Floral aromas of iris mingle with red berry, moist soil and botanical herb. Linear and vibrant, the palate offers juicy Marasca cherry, cranberry, star anise and a suggestion of salted game. Polished tannins provide light support. Drink 2021–2026. KERIN O’KEEFE;89;Cantina del Giusto 2016 San Claudio II (Vino Nobile di Montepulciano);$23;San Claudio II;Red Blends, Red Blends;Vino Nobile di Montepulciano, Tuscany, Italy;Cantina del Giusto;KERIN O’KEEFE;14.5%;750 ml;Red;H. Mercer Wine & Spirit Imports;4/1/2020;Tuscany;Vino Nobile di Montepulciano
This 95% Sangiovese and 5% Merlot blend opens with aromas evoking dark-skinned berry, cedar and cooking spice. The firm palate offers dried black cherry, star anise and clove alongside firm tannins. KERIN O’KEEFE;89;Castello di Bibbione 2015 Riserva (Chianti Classico);$30;Riserva;Red Blends, Red Blends;Chianti Classico, Tuscany, Italy;Castello di Bibbione;KERIN O’KEEFE;14%;750 ml;Red;Votto Vines Importing;4/1/2020;Tuscany;Chianti Classico
A blend of Sangiovese, Cabernet Sauvignon and Merlot, this offers aromas of black-skinned berry, cedar and underbrush. The savory, accessible palate shows juicy black plum, tobacco and cooking spice alongside polished tannins. KERIN O’KEEFE;89;Decugnano dei Barbi 2016 Villa Barbi Rosso Red (Umbria);;Villa Barbi Rosso;Red Blends, Red Blends;Umbria, Central Italy, Italy;Decugnano dei Barbi;KERIN O’KEEFE;14%;750 ml;Red;Foley Family Wines;4/1/2020;Central Italy;Umbria
This has aromas of underbrush, violet and toasted oak that follow over to the easygoing palate, along with dried cherry, raisin and cocoa. It's already accessible, with smooth tannins. KERIN O’KEEFE;89;Podere Casanova 2016 Vino Nobile di Montepulciano;$25;;Red Blends, Red Blends;Vino Nobile di Montepulciano, Tuscany, Italy;Podere Casanova;KERIN O’KEEFE;14%;750 ml;Red;1_No Submitting Co;4/1/2020;Tuscany;Vino Nobile di Montepulciano
Aromas of dark-skinned fruit, ground pepper and baking spice lead the nose. The straightforward palate offers red plum, star anise and clove alongside smooth tannins. KERIN O’KEEFE;89;Ruffino 2016 Tenuta Santedame (Chianti Classico);;Tenuta Santedame;Red Blends, Red Blends;Chianti Classico, Tuscany, Italy;Ruffino;KERIN O’KEEFE;13%;750 ml;Red;Constellation Brands, Inc;4/1/2020;Tuscany;Chianti Classico
Aromas of ripe dark-skinned berry, cedar and toasted almond waft out of the glass. The savory palate offers black plum, clove and tobacco alongside fine-grained tannins. Enjoy through 2023. KERIN O’KEEFE;89;Zonin 2017 Red;$25;;Red Blends, Red Blends;Veneto, Italy;Zonin;KERIN O’KEEFE;14%;750 ml;Red;1821 Fine Wines & Spirits;4/1/2020;Italy;Veneto
Aromas of black-skinned berry and exotic spice emerge from the glass. The medium-bodied, savory palate offers black plum, clove and a balsamic note alongside polished tannins. Enjoy through 2023. KERIN O’KEEFE;89;Albino Armani 2016 Valpolicella Classico Superiore Ripasso;$20;;Red Blends, Red Blends;Valpolicella Classico Superiore Ripasso, Veneto, Italy;Albino Armani;KERIN O’KEEFE;14%;750 ml;Red;Saranty Imports;4/1/2020;Veneto;Valpolicella Classico Superiore Ripasso
Aromas evoking weedy underbrush, leather and a whiff of eucalyptus form the subtle nose along with whiffs of French oak. Made with 85% Sangiovese plus Cabernet Sauvignon and Merlot, the austere, rather light-bodied palate shows dried cherry, cassis and green bell pepper alongside dusty tannins. It closes on a note of unroasted coffee bean. Drink sooner rather than later if you want to capture the remaining fruit sensations. KERIN O’KEEFE;89;Carpineto 2012 Vigneto St. Ercolano (Vino Nobile di Montepulciano);$65;Vigneto St. Ercolano;Red Blends, Red Blends;Vino Nobile di Montepulciano, Tuscany, Italy;Carpineto;KERIN O’KEEFE;14%;750 ml;Red;Opici Wines;4/1/2020;Tuscany;Vino Nobile di Montepulciano
Aromas suggesting tilled soil, toasted oak and mature plum shape the nose. The forward palate offers dried black cherry, tobacco and mocha alongside polished tannins. KERIN O’KEEFE;89;Castello di Cacchiano 2013 Chianti Classico;$28;;Red Blends, Red Blends;Chianti Classico, Tuscany, Italy;Castello di Cacchiano;KERIN O’KEEFE;14.5%;750 ml;Red;San Martino Imports;4/1/2020;Tuscany;Chianti Classico
This has aromas of dark-skinned berry, leather and underbrush. The savory palate offers ripe black cherry, clove and a touch of mocha alongside polished tannins. KERIN O’KEEFE;89;Cecchi 2016 Storia di Famiglia (Chianti Classico);$18;Storia di Famiglia;Red Blends, Red Blends;Chianti Classico, Tuscany, Italy;Cecchi;KERIN O’KEEFE;13.5%;750 ml;Red;Terlato Wines International;4/1/2020;Tuscany;Chianti Classico
Aromas of blackberry, toasted almond and vanilla lead the nose. The dense palate offers blackberry jam, fig and tobacco alongside chewy tannins. Drink through 2022. KERIN O’KEEFE;89;Cesari 2016 Bosan (Valpolicella Ripasso);$42;Bosan;Red Blends, Red Blends;Valpolicella Ripasso, Veneto, Italy;Cesari;KERIN O’KEEFE;14%;750 ml;Red;Opici Wines;4/1/2020;Veneto;Valpolicella Ripasso
Aromas of dark-skinned berry, tobacco and cooking spice form the nose. The savory palate offers black currant, clove and white pepper alongside smooth tannins. Enjoy through 2022. KERIN O’KEEFE;89;Fumanelli 2017 Valpolicella Classico Superiore;$19;;Red Blends, Red Blends;Valpolicella Classico Superiore, Veneto, Italy;Fumanelli;KERIN O’KEEFE;14%;750 ml;Red;Taub Family Selections;4/1/2020;Veneto;Valpolicella Classico Superiore
Eucalyptus, leather and blue-flower aromas shape the nose along with and spice notes. The light-bodied, easygoing palate evokes dried cherry, plum, licorice and coffee bean alongside polished tannins. Drink 2021–2027. KERIN O’KEEFE;89;Valdipiatta 2017 Vino Nobile di Montepulciano;$30;;Red Blends, Red Blends;Vino Nobile di Montepulciano, Tuscany, Italy;Valdipiatta;KERIN O’KEEFE;14%;750 ml;Red;LLS–Winebow;4/1/2020;Tuscany;Vino Nobile di Montepulciano
This offers aromas of black-skinned berry, tobacco and underbrush. The savory palate shows dried black cherry, licorice and mocha cushioned in supple tannins. Enjoy through 2022. KERIN O’KEEFE;88;Bolla 2016 Le Poiane (Valpolicella Classico Superiore);$18;Le Poiane;Red Blends, Red Blends;Valpolicella Classico Superiore, Veneto, Italy;Bolla;KERIN O’KEEFE;13.5%;750 ml;Red;Frederick Wildman & Sons, Ltd;4/1/2020;Veneto;Valpolicella Classico Superiore
Aromas of dark berry, almond and cooking spice emerge from the glass. The savory palate offers dried black cherry, black pepper and tobacco alongside solid tannins. Enjoy through 2023. KERIN O’KEEFE;88;Cesari 2017 Mara (Valpolicella Ripasso);$23;Mara;Red Blends, Red Blends;Valpolicella Ripasso, Veneto, Italy;Cesari;KERIN O’KEEFE;13.5%;750 ml;Red;Opici Wines;4/1/2020;Veneto;Valpolicella Ripasso
Made with organically grown Grillo grapes, this fun, fresh sparkler has delicate aromas of white spring flower, crushed herb and citrus. Crisp and savory, the bright palate offers Anjou pear, grapefruit and a note of white almond alongside vibrant acidity. KERIN O’KEEFE;88;Feudo di Santa Tresa NV Il Grillo di Santa Tresa Brut Grillo (Vino Spumante);;Il Grillo di Santa Tresa Brut;Grillo, Italian White;Vino Spumante, Italy Other, Italy;Feudo di Santa Tresa;KERIN O’KEEFE;12.5%;750 ml;Sparkling;Vias Imports;4/1/2020;Italy Other;Vino Spumante
Camphor, blue-flower, underbrush and wild herb aromas lead the nose. On the full-bodied, austere palate, taut, close-grained tannins accompany dried cherry, cranberry, clove and powdered sage. You'll also detect the heat of evident alcohol that dominates the midpalate before a tight, lean finish. Drink sooner rather than later to capture the remaining fruit richness. KERIN O’KEEFE;88;Le Bèrne 2015 Riserva (Vino Nobile di Montepulciano);$35;Riserva;Red Blends, Red Blends;Vino Nobile di Montepulciano, Tuscany, Italy;Le Bèrne;KERIN O’KEEFE;15%;750 ml;Red;Siena Imports;4/1/2020;Tuscany;Vino Nobile di Montepulciano
This opens with aromas of dark-skinned berry, cooking spice and underbrush. The chewy palate offers ripe black plum, clove and vanilla alongside round tannins. Drink through 2022. KERIN O’KEEFE;88;Nicolis 2016 Seccal (Valpolicella Ripasso Classico);$36;Seccal;Red Blends, Red Blends;Valpolicella Ripasso Classico, Veneto, Italy;Nicolis;KERIN O’KEEFE;13.5%;750 ml;Red;Ethica Wines;4/1/2020;Veneto;Valpolicella Ripasso Classico
Aromas evoking dark berry, cedar and cooking spice come together in the glass. The dense palate offers blackberry jam, tobacco and star anise alongside smooth tannins. Enjoy through 2022. KERIN O’KEEFE;88;Rubinelli Vajol 2015 Vajol (Valpolicella Classico Superiore Ripasso);$29;Vajol;Red Blends, Red Blends;Valpolicella Classico Superiore Ripasso, Veneto, Italy;Rubinelli Vajol;KERIN O’KEEFE;14.5%;750 ml;Red;Golden State Wine Co;4/1/2020;Veneto;Valpolicella Classico Superiore Ripasso
This opens with red-skinned berry, underbrush and baking-spice aromas. The juicy light-bodied palate offers red cherry, star anise and white pepper alongside velvety tannins. Drink soon. KERIN O’KEEFE;88;Rubinelli Vajol 2017 Valpolicella Classico;;;Red Blends, Red Blends;Valpolicella Classico, Veneto, Italy;Rubinelli Vajol;KERIN O’KEEFE;12.5%;750 ml;Red;Golden State Wine Co;4/1/2020;Veneto;Valpolicella Classico
Fruity aromas of plum and black-skinned berry mingle with blue flower and wild herb notes. On the light-bodied palate, supple tannins and fresh acidity accompany red currant, Morello cherry and a hint of culinary spice. KERIN O’KEEFE;88;Talosa 2018 Rosso di Montepulciano;$22;;Red Blends, Red Blends;Rosso di Montepulciano, Tuscany, Italy;Talosa;KERIN O’KEEFE;13.5%;750 ml;Red;Verve Imports;4/1/2020;Tuscany;Rosso di Montepulciano
Aromas of roasted coffee bean, vanilla and a hint of violet lead the nose. The dense palate shows clove, espresso and black plum alongside close-grained tannins. KERIN O’KEEFE;88;Villa Cerna 2015 Riserva (Chianti Classico);$45;Riserva;Red Blends, Red Blends;Chianti Classico, Tuscany, Italy;Villa Cerna;KERIN O’KEEFE;14.5%;750 ml;Red;Volio Vino;4/1/2020;Tuscany;Chianti Classico
This has subdued aromas of white spring flower, green melon and bitter almond that carry on to the racy palate along with unripe pear and citrus. It's crisp, with brisk acidity. KERIN O’KEEFE;88;Andreola 2018 26° Primo Rive di Col San Martino (Valdobbiadene Prosecco Superiore);$25;26° Primo Rive di Col San Martino;Glera, Italian White;Valdobbiadene Prosecco Superiore, Veneto, Italy;Andreola;KERIN O’KEEFE;11.5%;750 ml;Sparkling;Siena Imports;4/1/2020;Veneto;Valdobbiadene Prosecco Superiore
Aromas of French oak, rose and dark-skinned berry mingle with a floral whiff of iris. On the lean, linear palate, racy acidity accompanies cranberry, espresso and dried sage along side grainy tannins that leave an astringent finish. KERIN O’KEEFE;88;Bindella 2016 I Quadri (Vino Nobile di Montepulciano);$42;I Quadri;Sangiovese;Vino Nobile di Montepulciano, Tuscany, Italy;Bindella;KERIN O’KEEFE;14%;750 ml;Red;Frederick Wildman & Sons, Ltd;4/1/2020;Tuscany;Vino Nobile di Montepulciano
This opens with aromas of raisin, clove and white pepper that carry over to the plush palate along with a touch of nutmeg. Polished tannins offer pliant support. Drink through 2022. KERIN O’KEEFE;88;Bolla 2016 Red;$16;;Red Blends, Red Blends;Veneto, Italy;Bolla;KERIN O’KEEFE;13%;750 ml;Red;Frederick Wildman & Sons, Ltd;4/1/2020;Italy;Veneto
